barcode	median_alnlen	median_querylen	median_IDfrac	mapped_reads	total_reads	total_filtered_reads	pct_mapped	nfilt	pct_filt
barcode85	1375	1540	0.95949	100582	105708	100582	100	3045	3.03
barcode40	1363	1541	0.962016	75281	77357	75281	100	501	0.67
barcode26	1368	1535	0.959848	131499	138744	131500	100	3773	2.87
barcode05	1361	1539	0.958944	119387	124741	119388	100	2789	2.34
barcode73	1375	1539	0.960898	159513	165853	159513	100	3052	1.91
barcode13	1364	1538	0.960145	99669	103595	99671	100	2274	2.28
barcode49	1376	1541	0.960231	92385	96066	92387	100	1906	2.06
barcode01	1364	1538	0.959757	101121	105530	101122	100	2753	2.72
barcode86	1375	1540	0.958801	188327	197131	188331	100	5567	2.96
barcode53	1365	1517	0.94883	15	19	15	100	0	0
barcode04	1373	1539	0.96044	158639	165138	158673	99.98	2981	1.88
barcode37	1358	1533	0.955267	105603	110002	105606	100	4520	4.28
barcode38	1368	1534	0.960843	110316	116121	110318	100	1996	1.81
barcode14	1370	1536	0.960714	239202	251410	239210	100	5365	2.24
barcode63	1376	1540	0.960265	144695	150782	144696	100	2233	1.54
barcode02	1370	1536	0.959766	192666	203262	192673	100	4185	2.17
barcode88	1366	1538	0.96	129488	134529	129489	100	2754	2.13
barcode62	1369	1546	0.956364	117468	121762	117468	100	2151	1.83
barcode65	1369	1533	0.961338	126636	132252	126638	100	2593	2.05
barcode29	1366	1542	0.962034	129503	133833	129509	100	1147	0.89
barcode15	1356	1531	0.958242	122440	127261	122442	100	3403	2.78
barcode50	1369	1547	0.956236	135833	140942	135835	100	2651	1.95
barcode03	1356	1529	0.958364	108807	113664	108813	99.99	3129	2.88
barcode61	1376	1541	0.961009	98926	102778	98930	100	1819	1.84
barcode64	1370	1538	0.961257	109425	113447	109431	99.99	1053	0.96
barcode28	1363	1539	0.962278	95901	98785	95907	99.99	534	0.56
barcode27	1374	1539	0.960432	119859	124140	119862	100	2212	1.85
barcode87	1354	1529	0.957818	109773	114685	109775	100	3335	3.04
barcode25	1358	1533	0.95585	102017	106053	102018	100	4143	4.06
barcode76	1366	1538	0.960448	113752	117694	113752	100	2002	1.76
barcode17	1361	1537	0.959361	96837	100578	96840	100	2078	2.15
barcode16	1373	1539	0.960784	142750	148392	142773	99.98	2315	1.62
barcode74	1375	1540	0.960841	126002	130172	126002	100	1945	1.54
barcode51	1376	1540	0.961484	131417	136623	131418	100	1575	1.2
barcode52	1370	1539	0.961314	120634	125370	120641	99.99	1467	1.22
barcode39	1374	1538	0.960898	126019	130999	126021	100	2014	1.6
barcode75	1355	1529	0.958457	119881	124756	119883	100	2983	2.49
barcode41	1366	1540	0.962472	113998	117742	114010	99.99	1056	0.93
